"","FICO","BAE201405ProjLoss","PMI6_1","DTIwoProspLoanAllEmp","REV201","SampleWeight","EALR"
"11296",739,0.00195232670567566,0.045501455,0.21,3082,4.166667,0.00195232670567566
"11297",720,0.0361395400412858,0.102499346,0.41,24025,2,0.0361395400412858
"11298",627,0.713752925115028,0.1113092705,0.07,5985,5,0.713752925115028
"11299",654,0.106685,0.1270333685,0.42,16620,1,0.106685
"11300",719,0,0.1037920932,0.25,315,1,0
"11301",741,0,0.1299280627,-99,345,4.166667,0
"11302",664,0.0194815168290003,0.1018473905,0.32,16118,6.666667,0.0194815168290003
"11303",683,0.328924296709721,0.1018186513,0.17,880,2,0.328924296709721
"11304",742,0.0136909007068333,0.0966669891,0.09,1020,1,0.0136909007068333
"11305",674,0,0.1086320478,0.08,149,1,0
"11306",645,0.722546812026459,0.102173266,0.05,0,2,0.722546812026459
"11307",751,0,0.1218293782,0.42,1007,1,0
"11308",658,0,0.1146116711,0.19,15122,6.666667,0
"11309",722,0,0.1129197635,0.17,1621,2,0
"11310",647,0.00609588465129716,0.1174911438,0.02,530,2,0.00609588465129716
"11311",625,0,0.0931318876,0.09,32307,1,0
"11312",724,0,0.1276899689,0.37,2593,4.166667,0
"11313",700,0,0.1179723856,0.22,3382,1,0
"11314",661,0,0.1023477989,0.38,9299,2,0
"11315",639,0,0.0916786826,0.09,5942,1,0
"11316",672,0.17019,0.0668717077,0.24,15618,1,0.17019
"11317",659,0.0105008308074396,0.1012164649,0.17,6792,2,0.0105008308074396
"11318",637,0.00706490173950084,0.1083072738,0.01,278,1,0.00706490173950084
"11319",665,0.017405366192286,0.1221744987,0.18,7544,5,0.017405366192286
"11320",666,0.00270344776346393,0.1029626443,0.25,16013,2,0.00270344776346393
"11321",655,0.0205482580647267,0.1195689556,0.1,1026,5,0.0205482580647267
"11322",722,0.003367,0.1144816302,0.32,34523,1,0.003367
"11323",687,0,0.1051427456,0.35,21659,2,0
"11324",677,0,0.1248545288,0.08,6785,2,0
"11325",643,0,0.1098198864,0.16,6239,1,0
"11326",666,0,0.1146305272,0.2,20322,2,0
"11327",631,0,0.1075768916,0.17,186622,1,0
"11328",643,0.01128407551004,0.1109604799,0.47,11683,2,0.01128407551004
"11329",671,0,0.1071759637,0.15,7890,4.166667,0
"11330",651,0,0.0889013435,0.02,1201,6.666667,0
"11331",781,0,0.1041864758,0.18,2843,2,0
"11332",656,0.284984209559776,0.1062566919,0,441,5,0.284984209559776
"11333",627,1.1646,0.1101842491,0.06,15626,2.5,1.1646
"11334",699,0,0.0870799569,0.12,8328,1,0
"11335",644,0,0.1098400514,0.22,3263,2,0
"11336",661,0.424806047208779,0.124149245,0.46,13289,2,0.424806047208779
